,,Model,Family,Line,Platform,"Product ID Tray","Product ID Boxed","Launch Date","# of CPU Cores","# of Threads","Graphics Core Count","Base Clock","Max. Boost Clock ¹ ²","L1 Cache","L2 Cache","L3 Cache","Unlocked for Overclocking","Processor Technology for CPU Cores","CPU Socket","PCI Express® Version","Default TDP","AMD Configurable TDP (cTDP)","Max. Operating Temperature (Tjmax)","*OS Support","System Memory Specification","System Memory Type","Memory Channels","Graphics Frequency","Graphics Model","Supported Technologies","AMD Ryzen™ AI","FIPS Certification","FIPS Certification Links"
,on,"AMD Ryzen™ 5 7520C","AMD Ryzen™ Processors","AMD Ryzen™ 5 Processors",Laptop,100-000000773,,,4,8,2,2.8GHz,"Up to 4.3GHz",256KB,2MB,4MB,No,"TSMC 6nm FinFET",FT6,"PCIe® 3.0",15W,,,"ChromeOS  *Operating System (OS) support will vary by manufacturer.",,LPDDR5,2,"1900 MHz","AMD Radeon™ 610M",,,,
,on,"AMD Ryzen™ 5 6600U","AMD Ryzen™ Processors","AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics",Laptop,"FP7:100-000000536 FP7r2:	100-000000548",,,6,12,6,2.9GHz,"Up to 4.5GHz",384KB,3MB,16MB,No,"TSMC 6nm FinFET",FP7,"PCIe® 4.0",,15-28W,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,2,"1900 MHz","AMD Radeon™ 660M",,,,
,on,"AMD Ryzen™ 5 6600HS​","AMD Ryzen™ Processors","AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics",Laptop,"FP7:100-000000546 FP7r2:	100-000000562",,,6,12,6,3.3GHz,"Up to 4.5GHz",384KB,3MB,16MB,No,"TSMC 6nm FinFET",FP7,"PCIe® 4.0",35W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,2,"1900 MHz","AMD Radeon™ 660M",,,,
,on,"AMD Ryzen™ 5 6600H","AMD Ryzen™ Processors","AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics",Laptop,"FP7:100-000000546 FP7r2:	100-000000562",,,6,12,6,3.3GHz,"Up to 4.5GHz",384KB,3MB,16MB,No,"TSMC 6nm FinFET",FP7,"PCIe® 4.0",45W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,2,"1900 MHz","AMD Radeon™ 660M",,,,
,on,"AMD Ryzen™ 5 5625U","AMD Ryzen™ Processors","AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics",Laptop,100-000000583,,,6,12,7,2.3GHz,"Up to 4.3GHz",384KB,3MB,16MB,No,"TSMC 7nm FinFET",FP6,"PCIe® 3.0",15W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR4,2,"1800 MHz","AMD Radeon™ Graphics",,,,
,on,"AMD Ryzen™ 5 5625C","AMD Ryzen™ Processors","AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics",Laptop,,,,6,12,7,2.3GHz,"Up to 4.3GHz",384KB,3MB,16MB,No,"TSMC 7nm FinFET",FP6,"PCIe® 3.0",15W,,95°C,"ChromeOS  *Operating System (OS) support will vary by manufacturer.",,DDR4,2,,"AMD Radeon™ Graphics",,,,
,on,"AMD Ryzen™ 5 5600U","AMD Ryzen™ Processors","AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics",Laptop,100-000000287,,1/12/2021,6,12,7,2.3GHz,"Up to 4.2GHz",,3MB,16MB,,"TSMC 7nm FinFET",FP6,"PCIe® 3.0",15W,10-25W,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200 MT/s, LPDDR4 - Up to 4266 MT/s",,"1800 MHz","AMD Radeon™ Graphics","AMD ""Zen 3"" Core Architecture",,,
,on,"AMD Ryzen™ 5 5600HS","AMD Ryzen™ Processors","AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics",Laptop,100-000000296,,1/12/2021,6,12,7,3.0GHz,"Up to 4.2GHz",,3MB,16MB,,"TSMC 7nm FinFET",FP6,"PCIe® 3.0",35W,,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200 MT/s, LPDDR4 - Up to 4266 MT/s",,"1800 MHz","AMD Radeon™ Graphics","AMD ""Zen 3"" Core Architecture",,,
,on,"AMD Ryzen™ 5 5600H","AMD Ryzen™ Processors","AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics",Laptop,100-000000296,,1/12/2021,6,12,7,3.3GHz,"Up to 4.2GHz",,3MB,16MB,,"TSMC 7nm FinFET",FP6,"PCIe® 3.0",45W,35-54W,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200 MT/s, LPDDR4 - Up to 4266 MT/s",,"1800 MHz","AMD Radeon™ Graphics","AMD ""Zen 3"" Core Architecture",,,
,on,"AMD Ryzen™ 5 5560U","AMD Ryzen™ Processors","AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics",Laptop,,,,6,12,6,2.3GHz,"Up to 4.0GHz",384KB,3MB,8MB,No,"TSMC 7nm FinFET",FP6,"PCIe® 3.0",15W,10-25W,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4, LPDDR4X",2,"1600 MHz","AMD Radeon™  Graphics","AMD ""Zen 3"" Core Architecture",,,
,on,"AMD Ryzen™ 5 5500U","AMD Ryzen™ Processors","AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics",Laptop,100-000000375,,1/12/2021,6,12,7,2.1GHz,"Up to 4.0GHz",,3MB,8MB,,"TSMC 7nm FinFET",FP6,"PCIe® 3.0",15W,10-25W,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200 MT/s, LPDDR4 - Up to 4266 MT/s",,"1800 MHz","AMD Radeon™ Graphics",,,,
,on,"AMD Ryzen™ 5 5500H","AMD Ryzen™ Processors","AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics",Laptop,100-000001389,,,4,8,6,3.3GHz,"Up to 4.2GHz",,2MB,8MB,,"TSMC 7nm FinFET",FP6,"PCIe® 3.0",45W,35-54W,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200 MT/s, LPDDR4 - Up to 4266 MT/s",,"1800 MHz","AMD Radeon™ Graphics","AMD ""Zen 3"" Core Architecture",,,
,on,"AMD Ryzen™ 5 4680U Microsoft Surface® Edition","AMD Ryzen™ Processors","AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics Microsoft Surface® Edition",Laptop,,,4/13/2021,6,12,7,2.2GHz,"Up to 4.0GHz",384KB,3MB,8MB,No,"TSMC 7nm FinFET",FP6,"PCIe® 3.0",15W,10-25W,105°C,"Windows  *Operating System (OS) support will vary by manufacturer.","Up to 4267MT/s",LPDDR4,2,"1500 MHz","Radeon™  Graphics","AMD ""Zen"" Core Architecture, AMD FreeSync™ Technology, DirectX® 12 Technology",,,
,on,"AMD Ryzen™ 5 4600U","AMD Ryzen™ Processors","AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics",Laptop,100-000000105,,1/6/2020,6,12,6,2.1GHz,"Up to 4.0GHz",,3MB,8MB,,"TSMC 7nm FinFET",FP6,"PCIe® 3.0",15W,10-25W,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200 MT/s, LPDDR4 - Up to 4266 MT/s",,"1500 MHz","AMD Radeon™ Graphics",,,,
,on,"AMD Ryzen™ 5 4600H","AMD Ryzen™ Processors","AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics",Laptop,100-000000100,,1/6/2020,6,12,6,3.0GHz,"Up to 4.0GHz",,3MB,8MB,,"TSMC 7nm FinFET",FP6,"PCIe® 3.0",45W,35-54W,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200 MT/s, LPDDR4 - Up to 4266 MT/s",,"1500 MHz","AMD Radeon™ Graphics",,,,
,on,"AMD Ryzen™ 5 4500U","AMD Ryzen™ Processors","AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics",Laptop,100-000000084,,1/6/2020,6,6,6,2.3GHz,"Up to 4.0GHz",,3MB,8MB,,"TSMC 7nm FinFET",FP6,"PCIe® 3.0",15W,10-25W,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200 MT/s, LPDDR4 - Up to 4266 MT/s",,"1500 MHz","AMD Radeon™ Graphics",,,,
,on,"AMD Ryzen™ 5 3580U Microsoft Surface® Edition","AMD Ryzen™ Processors","AMD Ryzen™ 5 Mobile Processors with Radeon™ Vega 9 Graphics Microsoft Surface® Edition",Laptop,,,,4,8,9,2.1GHz,"Up to 3.7GHz",384KB,2MB,4MB,No,12nm,FP5,"PCIe® 3.0",15W,12-35W,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2400MT/s",,2,"1300 MHz","Radeon™ Vega 9 Graphics","AMD Zen+ (Core) Architecture, AMD FreeSync™ Technology, DirectX® 12 Technology",,,
,on,"AMD Ryzen™ 5 3550H","AMD Ryzen™ Processors","AMD Ryzen™ 5 Mobile Processors with Radeon™ Vega Graphics",Laptop,YM3500C4T4MFG,n/a,"Q1 2019",4,8,8,2.1GHz,"Up to 3.7GHz",384KB,2MB,4MB,No,12nm,FP5,"PCIe® 3.0",35W,12-35W,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2400MT/s",,2,"1200 MHz","Radeon™ Vega 8 Graphics","AMD SenseMI Technology, AMD ""Zen"" Core Architecture, AMD FreeSync™ Technology, DirectX® 12 Technology",,,
,on,"AMD Ryzen™ 5 3500U","AMD Ryzen™ Processors","AMD Ryzen™ 5 Mobile Processors with Radeon™ Vega Graphics",Laptop,YM3500C4T4MFG,n/a,"Q1 2019",4,8,8,2.1GHz,"Up to 3.7GHz",384KB,2MB,4MB,No,12nm,FP5,"PCIe® 3.0",15W,12-35W,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2400MT/s",,2,"1200 MHz","Radeon™ Vega 8 Graphics","AMD SenseMI Technology, AMD ""Zen"" Core Architecture, AMD FreeSync™ Technology, DirectX® 12 Technology",,,
,on,"AMD Ryzen™ 5 3500C","AMD Ryzen™ Processors","AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics",Laptop,YM350CC4T4MFG,,9/22/2020,4,8,8,2.1GHz,"Up to 3.7GHz",384KB,2MB,4MB,No,12nm,FP5,,15W,12-25W,105°C,"ChromeOS, Windows 11 - 64-Bit Edition  *Operating System (OS) support will vary by manufacturer.",,,,"1200 MHz","AMD Radeon™ Graphics",,,,
,on,"AMD Ryzen™ 5 3450U","AMD Ryzen™ Processors","AMD Ryzen™ 5 Mobile Processors with Radeon™ Vega Graphics",Laptop,YM3450C4T4MFG,,"Q2 2020",4,8,,2.1GHz,"Up to 3.5GHz",384KB,2MB,4MB,No,12nm,FP5,"PCIe® 3.0",15W,12-35W,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2400MT/s",,2,"1200 MHz","Radeon™ Vega 8 Graphics","AMD SenseMI Technology, AMD ""Zen"" Core Architecture, AMD FreeSync™ Technology, DirectX® 12 Technology",,,
,on,"AMD Ryzen™ 5 2600H","AMD Ryzen™ Processors","AMD Ryzen™ 5 Mobile Processors with Radeon™ Vega Graphics",Laptop,YM2600C3T4MFB,n/a,9/10/2018,4,8,8,3.2GHz,"Up to 3.6GHz",192KB,2MB,4MB,No,14nm,FP5,"PCIe® 3.0",45W,35-54W,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MT/s",,2,"1100 MHz","Radeon™ Vega 8 Graphics","AMD SenseMI Technology, AMD ""Zen"" Core Architecture, AMD FreeSync™ Technology, DirectX® 12 Technology",,,
,on,"AMD Ryzen™ 5 2500U","AMD Ryzen™ Processors","AMD Ryzen™ 5 Mobile Processors with Radeon™ Vega Graphics",Laptop,YM2500C4T4MFB,n/a,10/26/2017,4,8,8,2.0GHz,"Up to 3.6GHz",384KB,2MB,4MB,No,14nm,FP5,"PCIe® 3.0",15W,12-25W,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2400MT/s",DDR4,2,"1100 MHz","Radeon™ Vega 8 Graphics","AMD SenseMI Technology, AMD ""Zen"" Core Architecture, AMD FreeSync™ Technology, DirectX® 12 Technology, VCN",,,
,on,"AMD Ryzen™ 3 PRO 7330U","AMD Ryzen™ PRO Processors","AMD Ryzen™ 3 Processors with Radeon™ Graphics",Laptop,100-000000950,,,4,8,6,2.3GHz,"Up to 4.3GHz",256KB,2MB,8MB,No,"TSMC 7nm FinFET",FP6,"PCIe® 3.0",15W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR4,2,"1800 MHz","AMD Radeon™ Graphics",,,Yes,"Module Certification, Algorithm Certification"
,on,"AMD Ryzen™ 3 PRO 5475U","AMD Ryzen™ PRO Processors","AMD Ryzen™ 3 PRO 5000 Series Mobile Processors",Laptop,100-000000587,,,4,8,6,2.7GHz,"Up to 4.1GHz",256KB,2MB,8MB,No,"TSMC 7nm FinFET",FP6,"PCIe® 3.0",15W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR4,2,"1600 MHz","AMD Radeon™ Graphics",,,Yes,"Module Certification, Algorithm Certification"
,on,"AMD Ryzen™ 3 PRO 5450U","AMD Ryzen™ PRO Processors","AMD Ryzen™ 3 PRO 5000 Series Mobile Processors",Laptop,100-000000291,,03/16/2021,4,8,6,2.6GHz,"Up to 4.0GHz",,2MB,8MB,No,"TSMC 7nm FinFET",FP6,"PCIe® 3.0",15W,,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","3200MT/s / 4266MT/s","DDR4, LPDDR4",,"1600 MHz","AMD Radeon™ Graphics",,,Yes,"Module Certification, Algorithm Certification"
,on,"AMD Ryzen™ 3 PRO 4450U","AMD Ryzen™ PRO Processors","AMD Ryzen™ 3 PRO 4000 Series Mobile Processors",Laptop,100-000000104,,5/7/2020,4,8,5,2.5GHz,"Up to 3.7GHz",,2MB,4MB,No,"TSMC 7nm FinFET",FP6,"PCIe® 3.0",15W,,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200 MT/s, LPDDR4 - Up to 4266 MT/s",,"1400 MHz","AMD Radeon™ Graphics",,,Yes,"Module Certification, Algorithm Certification"
,on,"AMD Ryzen™ 3 PRO 3300U","AMD Ryzen™ PRO Processors","AMD Ryzen™ 3 PRO Mobile Processors with Radeon™ Vega Graphics",Laptop,YM330BC4T4MFG,n/a,4/8/2019,4,4,6,2.1GHz,"Up to 3.5GHz",384KB,2MB,4MB,No,12nm,FP5,"PCIe® 3.0",15W,12-25W,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2400MT/s",,2,"1200 MHz","Radeon™ Vega 6 Graphics","AMD PRO security, DASH 1.2",,,
,on,"AMD Ryzen™ 3 PRO 2300U","AMD Ryzen™ PRO Processors","AMD Ryzen™ 3 PRO Mobile Processors with Radeon™ Vega Graphics",Laptop,YM230BC4T4MFB,n/a,"Q1 2019",4,4,6,2.0GHz,"Up to 3.4GHz",384KB,2MB,4MB,No,14nm,FP5,"PCIe® 3.0",15W,12-25W,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2400MT/s",DDR4,2,"1100 MHz","Radeon™ Vega 6 Graphics","AMD PRO security, AMD SenseMI Technology, AMD ""Zen"" Core Architecture, DASH 1.2",,,
,on,"AMD Ryzen™ 3 8440U","AMD Ryzen™ Processors","AMD Ryzen™ 3 Processors with Radeon™ Graphics",Laptop,"100-000001325 (FP7r2), 100-000001332 (FP7)",,,4,8,4,3.0GHz,"Up to 4.7GHz",,4MB,8MB,No,"TSMC 4nm FinFET","FP7, FP7r2","PCIe® 4.0",28W,15-30W,100°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR5 (FP7r2), LPDDR5/x (FP7, FP8)",2,"2500 MHz","AMD Radeon™ 740M",,"Not Available",,
,on,"AMD Ryzen™ 3 7440U","AMD Ryzen™ Processors","AMD Ryzen™ 3 Processors with Radeon™ Graphics",Laptop,"100-000001068 (FP7r2) , 100-000001071 (FP7)",,,4,8,4,3.0GHz,"Up to 4.7GHz",,4MB,8MB,No,"TSMC 4nm FinFET","FP7, FP7r2","PCIe® 4.0",28W,15-30W,100°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR5 (FP7r2), LPDDR5/x (FP7, FP8)",2,"2500 MHz","AMD Radeon™ 740M",,,,
,on,"AMD Ryzen™ 3 7335U","AMD Ryzen™ Processors","AMD Ryzen™ 3 Processors with Radeon™ Graphics",Laptop,"FP7:  100-000000537 FP7r2:  100-000000549",,,4,8,4,3.0GHz,"Up to 4.3GHz",512KB,2MB,8MB,No,"TSMC 6nm FinFET",FP7,"PCIe® 4.0",28W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR5, LPDDR5",2,"1800 MHz","AMD Radeon™ 660M",,,,
,on,"AMD Ryzen™ 3 7330U","AMD Ryzen™ Processors","AMD Ryzen™ 3 Processors with Radeon™ Graphics",Laptop,100-000000944,,,4,8,6,2.3GHz,"Up to 4.3GHz",256KB,2MB,8MB,No,"TSMC 7nm FinFET",FP6,"PCIe® 3.0",15W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR4,2,"1800 MHz","AMD Radeon™ Graphics",,,,
,on,"AMD Ryzen™ 3 7320U","AMD Ryzen™ Processors","AMD Ryzen™ 3 Processors with Radeon™ Graphics",Laptop,100-000000676,,,4,8,2,2.4GHz,"Up to 4.1GHz",256KB,2MB,4MB,No,"TSMC 6nm FinFET",,"PCIe® 3.0",15W,,,"Windows 11 - 64-Bit Edition, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,LPDDR5,2,"1900 MHz","AMD Radeon™ 610M",,,,
,on,"AMD Ryzen™ 3 7320C","AMD Ryzen™ Processors","AMD Ryzen™ 3 Processors",Laptop,100-000000774,,,4,8,2,2.4GHz,"Up to 4.1GHz",256KB,2MB,4MB,No,"TSMC 6nm FinFET",FT6,"PCIe® 3.0",15W,,,"ChromeOS  *Operating System (OS) support will vary by manufacturer.",,LPDDR5,2,"1900 MHz","AMD Radeon™ 610M",,,,
,on,"AMD Ryzen™ 3 5425U","AMD Ryzen™ Processors","AMD Ryzen™ 3 Mobile Processors with Radeon™ Graphics",Laptop,100-000000586,,,4,8,6,2.7GHz,"Up to 4.1GHz",256KB,2MB,8MB,No,"TSMC 7nm FinFET",FP6,"PCIe® 3.0",15W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR4,2,"1600 MHz","AMD Radeon™ Graphics",,,,
,on,"AMD Ryzen™ 3 5425C","AMD Ryzen™ Processors","AMD Ryzen™ 3 Mobile Processors with Radeon™ Graphics",Laptop,,,,4,8,6,2.7GHz,"Up to 4.1GHz",256KB,2MB,8MB,No,"TSMC 7nm FinFET",FP6,"PCIe® 3.0",15W,,95°C,"ChromeOS  *Operating System (OS) support will vary by manufacturer.",,DDR4,2,,"AMD Radeon™ Graphics",,,,
,on,"AMD Ryzen™ 3 5400U","AMD Ryzen™ Processors","AMD Ryzen™ 3 Mobile Processors with Radeon™ Graphics",Laptop,100-000000288,,1/12/2021,4,8,6,2.6GHz,"Up to 4.0GHz",,2MB,8MB,,"TSMC 7nm FinFET",FP6,"PCIe® 3.0",15W,10-25W,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200 MT/s, LPDDR4 - Up to 4266 MT/s",,"1600 MHz","AMD Radeon™ Graphics",,,,
,on,"AMD Ryzen™ 3 5300U","AMD Ryzen™ Processors","AMD Ryzen™ 3 Mobile Processors with Radeon™ Graphics",Laptop,100-000000376,,1/12/2021,4,8,6,2.6GHz,"Up to 3.8GHz",,2MB,4MB,,"TSMC 7nm FinFET",FP6,"PCIe® 3.0",15W,10-25W,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200 MT/s, LPDDR4 - Up to 4266 MT/s",,"1500 MHz","AMD Radeon™ Graphics",,,,
,on,"AMD Ryzen™ 3 5125C","AMD Ryzen™ Processors","AMD Ryzen™ 3 Mobile Processors with Radeon™ Graphics",Laptop,,,,2,4,3,3.0GHz,"Up to 3.0GHz",128KB,1MB,8MB,No,"TSMC 7nm FinFET",FP6,"PCIe® 3.0",15W,,95°C,"ChromeOS  *Operating System (OS) support will vary by manufacturer.",,DDR4,2,,"AMD Radeon™ Graphics",,,,
,on,"AMD Ryzen™ 3 4300U","AMD Ryzen™ Processors","AMD Ryzen™ 3 Mobile Processors with Radeon™ Graphics",Laptop,100-000000085,,1/6/2020,4,4,5,2.7GHz,"Up to 3.7GHz",,2MB,4MB,,"TSMC 7nm FinFET",FP6,"PCIe® 3.0",15W,10-25W,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200 MT/s, LPDDR4 - Up to 4266 MT/s",,"1400 MHz","AMD Radeon™ Graphics",,,,
,on,"AMD Ryzen™ 3 3350U","AMD Ryzen™ Processors","AMD Ryzen™ 3 Mobile Processors with Radeon™ Vega Graphics",Laptop,YM3300C4T4MFG,,"Q1 2019",4,4,6,2.1GHz,"Up to 3.5GHz",348KB,2MB,4MB,No,12nm,FP5,"PCIe® 3.0",15W,12-35W,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2400MT/s",,2,"1200 MHz","Radeon™ Vega 6 Graphics","AMD SenseMI Technology, AMD ""Zen"" Core Architecture, AMD FreeSync™ Technology, DirectX® 12 Technology",,,
,on,"AMD Ryzen™ 3 3300U","AMD Ryzen™ Processors","AMD Ryzen™ 3 Mobile Processors with Radeon™ Vega Graphics",Laptop,YM3300C4T4MFG,n/a,"Q1 2019",4,4,6,2.1GHz,"Up to 3.5GHz",384KB,2MB,4MB,No,12nm,FP5,"PCIe® 3.0",15W,12-35W,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2400MT/s",,2,"1200 MHz","Radeon™ Vega 6 Graphics","AMD SenseMI Technology, AMD ""Zen"" Core Architecture, AMD FreeSync™ Technology, DirectX® 12 Technology",,,
,on,"AMD Ryzen™ 3 3250U","AMD Ryzen™ Processors","AMD Ryzen™ 3 Mobile Processors with Radeon™ Graphics",Laptop,YM3250C4T2OFG,,1/6/2020,2,4,3,2.6GHz,"Up to 3.5GHz",192KB,1MB,4MB,,14nm,FP5,"PCIe® 3.0",15W,12-25W,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2400MT/s",DDR4,2,"1200 MHz","AMD Radeon™ Graphics",,,,
,on,"AMD Ryzen™ 3 3250C","AMD Ryzen™ Processors","AMD Ryzen™ 3 Mobile Processors with Radeon™ Graphics",Laptop,YM325CC4T2OFG,,9/22/2020,2,4,3,2.6GHz,"Up to 3.5GHz",192KB,1MB,4MB,No,14nm,FP5,,15W,12-25W,105°C,"ChromeOS, Windows 11 - 64-Bit Edition  *Operating System (OS) support will vary by manufacturer.",,,,"1200 MHz","AMD Radeon™ Graphics",,,,
